genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
Pop,Rihanna,Love On The Brain,2aksifNn5ph8igDOkPBA02,74,0.0717,0.509,224000,0.637,1.08E-05,E,0.0789,-4.83,Minor,0.0471,172.006,03-Apr,0.378
Pop,Camila Cabello,Consequences - orchestra,1ArLnG0bHaHPXqf08sEKM0,81,0.645,0.547,181913,0.289,0,C,0.148,-8.131,Major,0.0348,104.851,03-Apr,0.213
Pop,X Ambassadors,Unsteady,7lGKEWMXVWWTt3X71Bv44I,78,0.178,0.389,193547,0.665,0.000732,C,0.116,-6.169,Major,0.0644,117.055,04-Apr,0.199
Pop,Panic! At The Disco,Death Of A Bachelor,1BECwm5qkaBwlbfo4kpYx8,79,0.0137,0.462,203507,0.538,0,C,0.429,-5.527,Major,0.059,139.256,04-Apr,0.405
Pop,Lil Uzi Vert,Money Longer,0B8QzDH7YWih85V5SEMnyJ,78,0.0541,0.795,198944,0.568,0,F,0.108,-7.817,Minor,0.142,136.173,04-Apr,0.478
Pop,H.E.R.,Could've Been (feat. Bryson Tiller),6lzLjIOyWTyTJvk0jraYee,79,0.64,0.545,248467,0.33,7.00E-06,C#,0.22,-11.719,Minor,0.164,103.553,04-Apr,0.399
Pop,Mark Ronson,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,82,0.00801,0.856,269667,0.609,8.15E-05,C,0.0344,-7.223,Major,0.0824,114.988,04-Apr,0.928
Pop,Alessia Cara,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK,76,0.0285,0.573,230227,0.739,0,C,0.111,-5.74,Major,0.129,97.085,04-Apr,0.451
Pop,Drax Project,Woke Up Late (feat. Hailee Steinfeld),3qLBz3j26AHO2jBYUQWLA6,79,0.043,0.698,181859,0.66,0,D,0.186,-5.429,Minor,0.083,119.214,04-Apr,0.351
Pop,2 Chainz,High Top Versace (feat. Young Thug),40wyhIkaVvuZUAbAiTOkHI,74,0.00206,0.788,176920,0.591,1.95E-05,C#,0.116,-4.838,Major,0.133,152.071,04-Apr,0.247
Pop,Owl City,Fireflies,3DamFFqW32WihKkTVlwTYQ,79,0.0294,0.591,228347,0.649,0,D#,0.133,-6.72,Major,0.0417,90.002,04-Apr,0.489
Pop,OneRepublic,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,74,0.0654,0.664,257840,0.705,0,C#,0.115,-4.972,Minor,0.0382,122.017,04-Apr,0.477
Pop,21 Savage,all my friends,4paAidoE8VAemwU4jgCc6l,80,0.171,0.713,211785,0.62,1.16E-06,C,0.118,-4.513,Major,0.0422,130.09,04-Apr,0.206
Pop,Yo Gotti,Put a Date On It (feat. Lil Baby),6PRh0ilIMEP1xlUHqalnkD,79,0.0123,0.835,195257,0.659,0,E,0.372,-5.696,Major,0.31,129.93,04-Apr,0.579
Pop,Kodak Black,MoshPit (feat. Juice WRLD),4KX8vXbouybtUptEyYxtIk,79,0.394,0.769,164038,0.627,0,G,0.106,-4.064,Major,0.262,157.938,04-Apr,0.49
Pop,T-Pain,Buy U a Drank (Shawty Snappin'),2aIdVb8v9KTpEZnftkz2mD,78,0.0108,0.451,227960,0.55,0,C#,0.0737,-8.137,Major,0.262,80.001,04-Apr,0.594
Pop,Ruel,Younger,2qXicQG06oT0ijKBznpgQv,78,0.202,0.745,222320,0.477,0,B,0.12,-7.706,Minor,0.088,136.055,04-Apr,0.454
Pop,Rihanna,Needed Me,1Tt4sE4pXi57mTD1GCzsqm,73,0.11,0.671,191600,0.314,0,F,0.0825,-8.091,Minor,0.244,110.898,04-Apr,0.296
Pop,Kodak Black,Pimpin Ain't Eazy,5FxKZ4IajYIRDjAWAboiB4,74,0.311,0.644,177000,0.501,0,C,0.106,-8.959,Major,0.492,129.828,04-Apr,0.173
Pop,Khalid,This Way,6fbYL76UWbHdYq4B91TPQi,76,0.694,0.62,211205,0.282,0,F,0.119,-10.533,Minor,0.0464,124.609,03-Apr,0.193
Pop,Rex Orange County,Best Friend,47Bg6IrMed1GPbxRgwH2aC,79,0.395,0.575,262231,0.714,0,F#,0.115,-5.247,Major,0.0596,144.982,04-Apr,0.32
Pop,Zac Efron,Rewrite The Stars,65fpYBrI8o2cfrwf2US4gq,83,0.0716,0.684,217440,0.619,0,A#,0.122,-7.005,Major,0.0386,125.046,04-Apr,0.284
Pop,Daniel Caesar,Who Hurt You?,23c9gmiiv7RCu7twft0Mym,78,0.586,0.649,231964,0.493,0.000167,B,0.0667,-7.645,Minor,0.11,104.542,04-Apr,0.277
Pop,Migos,Slippery (feat. Gucci Mane),6p8NuHm8uCGnn2Dtbtf7zE,78,0.307,0.92,304041,0.674,0,C#,0.104,-5.662,Minor,0.264,141.967,04-Apr,0.741
Pop,Lil Baby,Freestyle,5BbdKBZO0TH0GhfxUfyhL9,79,0.212,0.877,162053,0.514,0,D,0.154,-5.585,Minor,0.0657,119.998,04-Apr,0.272
Pop,The Weeknd,Call Out My Name,4MPTj8lMMvxLwT3EwuXFop,83,0.211,0.449,228373,0.599,0,C#,0.327,-4.892,Major,0.0369,134.144,03-Apr,0.165
Pop,21 Savage,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,80,0.111,0.872,205352,0.591,0,F#,0.144,-6.952,Minor,0.359,131.982,04-Apr,0.696
Pop,Lukas Graham,7 Years,5kqIPrATaCc2LqxVWzQGbk,80,0.287,0.765,237300,0.473,0,A#,0.391,-5.829,Major,0.0514,119.992,04-Apr,0.34
Pop,Quavo,FLIP THE SWITCH (feat. Drake),1rlIrbWboTRGeKfHhgbJRZ,78,0.129,0.853,156195,0.637,0,D#,0.267,-5.924,Minor,0.331,86.048,04-Apr,0.496
